"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","id","Schwartzberg"
"248","district",2405,"Maryland",5,0.611577915,0.086288495,0.012094508,279,32.1275741566275
"249","district",2408,"Maryland",8,0.235483765,0.095690552,0.008865329,280,17.976964366649
"250","district",2401,"Maryland",1,1.479962929,0.169166721,0.023672025,281,25.4926755808399
"251","district",2403,"Maryland",3,0.106462148,0.09016897,0.006734996,282,12.8276007813131
"252","district",2402,"Maryland",2,0.141692003,0.075631396,0.00695956,283,17.6431239484056
"253","district",2406,"Maryland",6,0.538336902,0.149454599,0.01927129,284,17.4029440454057
"254","district",2407,"Maryland",7,0.136129394,0.066416074,0.005449635,285,19.6928098604719
"255","district",2301,"Maine",1,1.482280683,0.169328568,0.018434506,287,25.4882442872337
"256","district",2302,"Maine",2,9.040166122,0.322133161,0.038127246,288,33.0870237637162
"257","district",2205,"Louisiana",5,3.675493651,0.365900883,0.03546464,290,18.5737379057381
"258","district",2201,"Louisiana",1,2.327333643,0.237720986,0.023685832,291,22.7492316403413
"259","district",2206,"Louisiana",6,1.053187234,0.2273689,0.016712059,292,16.0002461680059
"260","district",2202,"Louisiana",2,0.360333426,0.143261195,0.015272371,293,14.8534944403883
"261","district",2204,"Louisiana",4,3.157243947,0.253843813,0.030673405,294,24.8137509479585
"262","district",2203,"Louisiana",3,2.211291447,0.160218428,0.022750489,295,32.9014818649135
"263","district",2106,"Kentucky",6,1.155940976,0.141387129,0.014087343,297,26.9564616681693
"264","district",2102,"Kentucky",2,1.934242634,0.241804584,0.022934714,298,20.388997757974
"265","district",2104,"Kentucky",4,1.203377667,0.186868304,0.025082245,299,20.8099128621889
"266","district",2103,"Kentucky",3,0.088692704,0.028645035,0.004698227,300,36.8552636686685
"267","district",2105,"Kentucky",5,2.990365688,0.198533119,0.024551755,301,30.876930265382
"268","district",2101,"Kentucky",1,3.297545298,0.307745932,0.034930437,302,20.9174141990541
"269","district",2001,"Kansas",1,14.14385954,0.315892836,0.047883995,304,42.2035634974854
"270","district",2004,"Kansas",4,3.782573867,0.168807941,0.027421242,305,40.8418840674065
"271","district",2002,"Kansas",2,3.864467828,0.18819501,0.029875708,306,37.0289737776922
"272","district",2003,"Kansas",3,0.216014635,0.037316449,0.00652056,307,44.1515759419136
"273","district",1903,"Iowa",3,2.449247482,0.12925255,0.02047274,309,42.9222171280422
"274","district",1902,"Iowa",2,3.470449716,0.184306127,0.029856433,310,35.8309264207768
"275","district",1904,"Iowa",4,6.494809124,0.213474149,0.034203916,311,42.3197250190455
"276","district",1901,"Iowa",1,3.452062205,0.191177669,0.026509898,312,34.4514159815423
"277","district",1803,"Indiana",3,1.178809478,0.081803133,0.014946382,314,47.0496941261784
"278","district",1802,"Indiana",2,1.10433233,0.084043191,0.012965125,315,44.3253620609259
"279","district",1805,"Indiana",5,0.528756854,0.064954248,0.009969845,316,39.684908000756
"280","district",1808,"Indiana",8,1.979052536,0.186365795,0.025104711,317,26.7588464418685
"281","district",1804,"Indiana",4,1.762883384,0.110550499,0.017042667,318,42.5751333567468
"282","district",1809,"Indiana",9,1.203995734,0.106187291,0.015285736,319,36.6306701998907
"283","district",1806,"Indiana",6,1.707102781,0.108448715,0.016277942,320,42.7081103775669
"284","district",1801,"Indiana",1,0.392163908,0.047523716,0.008369291,321,46.7119880356316
"285","district",1807,"Indiana",7,0.087147535,0.021416796,0.003316955,322,48.8627590382302
"286","district",1717,"Illinois",17,1.965455049,0.185211078,0.022023695,324,26.8330185178691
"287","district",1712,"Illinois",12,1.366393003,0.144609511,0.019364167,325,28.6547015308704
"288","district",1718,"Illinois",18,2.926704723,0.202475389,0.022454605,326,29.9517460054877
"289","district",1716,"Illinois",16,2.220871495,0.164382383,0.023026402,327,32.1374471160202
"290","district",1713,"Illinois",13,1.579935367,0.162499009,0.021601216,328,27.420405672661
"291","district",1714,"Illinois",14,0.461541999,0.085999613,0.010751077,329,28.0036117895964
"292","district",1715,"Illinois",15,4.016048913,0.252878001,0.032223343,330,28.0926933795879
"293","district",1706,"Illinois",6,0.111715723,0.047196378,0.005766341,331,25.1046060980634
"294","district",1710,"Illinois",10,0.088074637,0.035066099,0.004384875,332,30.0014958189221
"295","district",1703,"Illinois",3,0.069996159,0.030877109,0.004598937,333,30.3742389810723
"296","district",1705,"Illinois",5,0.025649806,0.023507378,0.002689624,334,24.1514262849
"297","district",1711,"Illinois",11,0.07942169,0.04208936,0.00420539,335,23.7357069858266
"298","district",1708,"Illinois",8,0.059025458,0.028359765,0.003379335,336,30.3684053067898
"299","district",1702,"Illinois",2,0.302235069,0.050639743,0.009939299,337,38.4845016067514
"300","district",1701,"Illinois",1,0.074786183,0.039751413,0.006147581,338,24.3872620699142
"301","district",1707,"Illinois",7,0.017923961,0.01931525,0.002444029,339,24.5709299339602
"302","district",1704,"Illinois",4,0.015297174,0.026222104,0.002146941,340,16.7202589754507
"303","district",1709,"Illinois",9,0.028122077,0.021683962,0.002820705,341,27.4151098873453
"304","district",1601,"Idaho",1,11.81559879,0.450363063,0.064580424,343,27.056401543669
"305","district",1602,"Idaho",2,12.4965548,0.359468695,0.039827393,344,34.8609329860658
"306","district",1502,"Hawaii",2,2.37245258,0.424518004,0.348060691,346,12.8619728563972
"307","district",1501,"Hawaii",1,0.086220434,0.029252315,0.004841587,347,35.5835925645723
"308","district",1302,"Georgia",2,2.409227604,0.163625288,0.022354989,349,33.6274103306754
"309","district",1313,"Georgia",13,0.182948017,0.06075922,0.007214635,350,24.9549437512862
