geography,geography_id,state_name,district_name,area,perimeter,max_distance_from_center,id
district,3103.0,Nebraska,3.0,18.93604687,0.393979998,0.070237099,225
district,3101.0,Nebraska,1.0,2.497456757,0.15904089,0.020614295,226
state,30.0,Montana,,45.08681227,0.449857204,0.082244083,227
district,3000.0,Montana,0.0,45.12419023,0.517744005,0.082468122,228
state,29.0,Missouri,,18.62474971,0.336051538,0.058826976,229
district,2903.0,Missouri,3.0,1.879389132,0.162414814,0.020196505,230
district,2905.0,Missouri,5.0,0.665504316,0.110792171,0.012695245,231
district,2906.0,Missouri,6.0,5.013146509,0.276363852,0.036765152,232
district,2907.0,Missouri,7.0,1.656575753,0.107157931,0.015636825,233
district,2904.0,Missouri,4.0,3.897688963,0.233941014,0.028216022,234
district,2908.0,Missouri,8.0,5.271498777,0.233683084,0.028447035,235
district,2902.0,Missouri,2.0,0.125622245,0.037280335,0.004703154,236
district,2901.0,Missouri,1.0,0.062888381,0.026014583,0.003481717,237
state,28.0,Mississippi,,11.88436952,0.296874154,0.046029534,238
district,2804.0,Mississippi,4.0,2.178379346,0.136288704,0.020677341,239
district,2801.0,Mississippi,1.0,2.713162358,0.160967863,0.023194453,240
district,2803.0,Mississippi,3.0,3.184747957,0.254967578,0.033226633,241
district,2802.0,Mississippi,2.0,3.991944275,0.318792109,0.030466025,242
state,27.0,Minnesota,,25.53531717,0.402645627,0.063469949,243
district,2703.0,Minnesota,3.0,0.174913138,0.038750468,0.005031602,244
district,2704.0,Minnesota,4.0,0.107080216,0.02426777,0.003793949,245
district,2705.0,Minnesota,5.0,0.042183115,0.015979109,0.002545508,246
district,2702.0,Minnesota,2.0,0.74168115,0.084273116,0.013413461,247
district,2708.0,Minnesota,8.0,10.05781447,0.287242447,0.043105459,248
district,2706.0,Minnesota,6.0,0.885227356,0.107305294,0.014202973,249
district,2707.0,Minnesota,7.0,10.77523646,0.338100733,0.049071768,250
district,2701.0,Minnesota,1.0,3.541063943,0.176491537,0.035470927,251
state,26.0,Michigan,,16.94768521,0.601918185,0.077256451,252
district,2610.0,Michigan,10.0,1.803675848,0.106693961,0.016933717,253
district,2602.0,Michigan,2.0,1.784824785,0.108780882,0.016478234,254
district,2611.0,Michigan,11.0,0.126240312,0.042717545,0.005111166,255
district,2607.0,Michigan,7.0,1.261321506,0.111078992,0.015750525,256
district,2601.0,Michigan,1.0,16.38002821,0.35479162,0.058624896,257
district,2608.0,Michigan,8.0,0.438055429,0.059959036,0.011541755,258
district,2605.0,Michigan,5.0,1.215120951,0.127519696,0.020738796,259
district,2603.0,Michigan,3.0,0.767330957,0.093170465,0.013298446,260
district,2604.0,Michigan,4.0,2.492666733,0.131966523,0.019543663,261
district,2614.0,Michigan,14.0,0.06041611,0.040907804,0.005135411,262
district,2609.0,Michigan,9.0,0.0539264,0.023020485,0.003887997,263
district,2606.0,Michigan,6.0,1.440252084,0.086940495,0.01528967,264
district,2612.0,Michigan,12.0,0.120832221,0.040428371,0.005554533,265
district,2613.0,Michigan,13.0,0.058098357,0.03014812,0.003991562,266
state,25.0,Massachusetts,,2.268092659,0.168873494,0.029969712,267
district,2504.0,Massachusetts,4.0,0.194382268,0.063091831,0.006607716,268
district,2509.0,Massachusetts,9.0,0.896816124,0.104852034,0.011226359,269
district,2508.0,Massachusetts,8.0,0.139528766,0.057157813,0.005258437,270
district,2501.0,Massachusetts,1.0,0.680492456,0.081452438,0.013755619,271
district,2502.0,Massachusetts,2.0,0.482247265,0.07532404,0.010806806,272
district,2503.0,Massachusetts,3.0,0.225285649,0.059649607,0.008387486,273
district,2505.0,Massachusetts,5.0,0.081739443,0.04098897,0.005138035,274
district,2507.0,Massachusetts,7.0,0.02997628,0.033068533,0.003755193,275
district,2506.0,Massachusetts,6.0,0.244291229,0.051513313,0.006281476,276
state,24.0,Maryland,,2.677945036,0.33802757,0.037912912,277
district,2404.0,Maryland,4.0,0.084984298,0.055396812,0.005566502,278
district,2405.0,Maryland,5.0,0.611577915,0.086288495,0.012094508,279
district,2408.0,Maryland,8.0,0.235483765,0.095690552,0.008865329,280
district,2401.0,Maryland,1.0,1.479962929,0.169166721,0.023672025,281
district,2403.0,Maryland,3.0,0.106462148,0.09016897,0.006734996,282
district,2402.0,Maryland,2.0,0.141692003,0.075631396,0.00695956,283
district,2406.0,Maryland,6.0,0.538336902,0.149454599,0.01927129,284
district,2407.0,Maryland,7.0,0.136129394,0.066416074,0.005449635,285
state,23.0,Maine,,9.600893696,0.310229664,0.044315084,286
district,2301.0,Maine,1.0,1.482280683,0.169328568,0.018434506,287
district,2302.0,Maine,2.0,9.040166122,0.322133161,0.038127246,288
state,22.0,Louisiana,,11.39072304,0.422314574,0.055913834,289
district,2205.0,Louisiana,5.0,3.675493651,0.365900883,0.03546464,290
district,2201.0,Louisiana,1.0,2.327333643,0.237720986,0.023685832,291
district,2206.0,Louisiana,6.0,1.053187234,0.2273689,0.016712059,292
district,2202.0,Louisiana,2.0,0.360333426,0.143261195,0.015272371,293
district,2204.0,Louisiana,4.0,3.157243947,0.253843813,0.030673405,294
district,2203.0,Louisiana,3.0,2.211291447,0.160218428,0.022750489,295
state,21.0,Kentucky,,10.64177411,0.293376678,0.060287736,296
district,2106.0,Kentucky,6.0,1.155940976,0.141387129,0.014087343,297
district,2102.0,Kentucky,2.0,1.934242634,0.241804584,0.022934714,298
district,2104.0,Kentucky,4.0,1.203377667,0.186868304,0.025082245,299
district,2103.0,Kentucky,3.0,0.088692704,0.028645035,0.004698227,300
district,2105.0,Kentucky,5.0,2.990365688,0.198533119,0.024551755,301
district,2101.0,Kentucky,1.0,3.297545298,0.307745932,0.034930437,302
state,20.0,Kansas,,22.00865104,0.308395096,0.058025323,303
district,2001.0,Kansas,1.0,14.14385954,0.315892836,0.047883995,304
district,2004.0,Kansas,4.0,3.782573867,0.168807941,0.027421242,305
